-,А,Б,В,Г,Д,Е,Ж,З,И,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,
А,-,арбуз,акварель/аквариум,алгебра(учебник)/ангел,Ардуино/ад/Ауди,апельсин/аленка,аджика,абзац,асикс/Алина/афиша,аскорбинка/АК-47/арка,атлас,алмаз/арматура,Аня/Арни,алоэ/атом,айпад(iPad)/аспирин,абрикос/аврора,аист,антисептик/антоновка/аптечка/авто/антенна,агуша/амулет/акула,арфа/айфон(iphone)/асфальт,архив(.rar),ацц/акция,алыча/Арчи,аш(H),
Б,браслет,-,бмв(bmw),багет,будильник/будка,бревно,Баженов,базука,бритва/блин(для штанги),букет/бокал/Бакуган/бык/баклажан(фиолетовый),булочка/бильярд/болт/булавка/белка/билет,бумага/бумеранг/бамбук,банан/бинт,блок(бумаги А4)/блокнот/брокколи,биплан,барни/бургер/берет/барабан/беруши,бусы/бассейн/бисер/Баста,бита/батарейка/ботинок/батон/бутерброд,брусок/брусья/Bounty/брусника/бгу,буфер/Буффон/,бахилы/буханка,бицепс,бочка/бычок(от сигареты),башня,
В,Влад,воблер/вибратор,-,вагон/вагонетка,ведро/вода/ВИД,веер/время,выжигатель,ваза/визитка,внимание/выигрыш,вк/викинг,вилка/велик,вампир,вино/венок/ванна/вантуз/веник/виноград,ВОдка,вопрос/ватные палочки,варенье/воронка,весло/весы/Вассерман,вата/витамины/витьба,втулка(от туалетной бумаги),вафля,выход(зеленая табличка),вице,ВИЧ/вечер,вешалка/вишня,
Г,грабли/гранат/граната/градусник/гуаш/глаз/ГА,губка/гоблин,говняшка,-,гидрант,гречка/грелка,гараЖ,газета/газ(балон),гриб/гайка,гектар,голубь/галстук,гамак/гематоген,гонг/гандбол,гвоздь/глобус/гроб/гном,Гиппо/гипс/гипербола,гиря/горошек/горшок/гармошка(духовая),гусь,гитара/гуталин,груша(боксерская)/груша(фрукт),гофра(гофрированная бумага),гороХ,Гриценко,гуччи,Гоша,
Д,дракон,дубинка,диван,deagle(desert eagle)|дуга(радуга),-,дрель/дневник/дженга/дверь,дождик(для душа),дезик,джинсы/джип,документ/доктор,долото(красное)/доллар/дельфин,домино,дыня/динамик/деньги,дротик/дрон/диод,диплом/дипломат(черный),дуршлаг/дартс/дюрекс/дырокол,диск/доска,деталька/дутка/дятел,джут,дефис,духи/духовка,децл,дача/дичь,доширак,
Е,Ева,эмблема,экватор,Евгений,ездок,-,ёж,ерзать,Египет,ёлка,эклеры,ермак(Ярмак),Эрне Рубик,енот,экспандер(ручной),еврей/евро,yes,есть,ерунда,эльф,эХо,Ельцин,еловая чаща,ершик,
Ж,жвачка(шарик),жаба,живопись(картина)/живот,жига,жидкость ,жменя,-,жезл(регулеровщика),жрица,жук,желе,жемчуг/жемчужина,жонглёр,жмот,жопа,журавлик(оригами),жестянка,жетон,жгут,ЖираФ,жахнуть,жеребеЦ,жучка,жишка,
З,знак,зубачистка/зуб/зебра/зубр,заварка(чайный пакетик),загадка,задача,змей/змейка(кубик),зажигалка,-,зритель,заколка/закактка/закладка/зек,золото/зеленка,замОк/замазка,зонт,звонок,запеканка/записка,зарядка/зеркало,застежка,заточка,звук,зефир,Захар,заяц,зачётка,золуШка,
И,икарус(автобус)/Ира/иа,имбирь,извещатель,ингалипт/ингалятор,йод,идея (лампочка)/иней,инженер(Лапенко)\инжир,йазь(мужик/орущий язь),-,искра,игла,измена,июнь,изолента/икона/Илон(Маск),испуг,икра,инспектор/икс,история,изумруд,инфекция/if,исходник,исцеление,Ильич(Ленин),иШак,
К,квас/клавиатура/краска(для волос)/краска,куб/кубок/кабачок,ковёр/кувшин/киви,кегля,кеды,клей/крест/кресло/крекеры,кожанка,козинак/кузнечик/коза/Кузнецов(workout),клизма/крипер(minecraft)/крик,-,кола/кольцо/кулер/калькулятор,камень/камыш,конверт/канистра/киндер/коньки/кендама,клок/кровь/кровать/кролик/кнопка/крокодил,кепка/капуста/копье/кипятильник/копилка,карандаш/корона/карты/кирпич/картошка/курица,кастрюля/кассета/кисть(кисточка)/коса/кость/костюм/куст/костыль/костет,кот/кетчуп/котлеты/kit kat,кружка/клубок/круассан/кнут/клубника,кефир/кофе,кухня,кацуба,кочерга/качели/качок/качан,кошелек/каштан/каша,
